"Tumour","Modelclass","Coefficients","Estimate","Std. Error","z value","Pr(>|z|)"
"t24","GLM","intercept",-2.70268633158039,0.396646727935944,-6.81383745592593,9.50290725426794e-12
"t24","GLM","dose slope",0.0113503136260128,0.00371807096326895,3.05274260178012,0.00226760352662713
"t26","GLM","intercept",-1.30972183204255,0.271709589894729,-4.82030035285095,1.43342245174009e-06
"t26","GLM","dose slope",-0.00221303624167572,0.00331419558888771,-0.667744610214283,0.504296628792868
"t27","GLM","intercept",-0.294324808902981,0.223444198089173,-1.31721839913481,0.187765428282296
"t27","GLM","dose slope",0.0102366009612977,0.00284359682337196,3.59987775944942,0.0003183668116938
"t28","GLM","intercept",-1.24121088280916,0.260567472532803,-4.76349127826344,1.90271838500707e-06
"t28","GLM","dose slope",0.000919550589564989,0.00298769069892409,0.307779714244226,0.758249958481107
"t29","GLM","intercept",-1.61185921807236,0.270850827279196,-5.95109579049148,2.66353130634824e-09
"t29","GLM","dose slope",0.021778528127094,0.00338068148376318,6.44205265467699,1.17868370976825e-10
"t36","GLM","intercept",-2.1714869935611,0.408577876223824,-5.3147444341101,1.06807121673134e-07
"t36","GLM","dose slope",-0.0137276738436548,0.00745558801838056,-1.84125971148237,0.0655835087288785
"t41","GLM","intercept",-4.96926023710755,1.00411844492579,-4.94887855334118,7.46423008666318e-07
"t41","GLM","dose slope",0.0179968170308153,0.00796536151990332,2.2593848359357,0.0238594568459692
"t42","GLM","intercept",-2.29823646534473,0.322797384827157,-7.11974933308497,1.08123524097667e-12
"t42","GLM","dose slope",0.0181220876002421,0.00320541629332872,5.65358316732799,1.57137023489994e-08
"t59","GLM","intercept",-0.8443318515601,0.266695954984493,-3.16589672913935,0.00154605672076937
"t59","GLM","dose slope",-0.0162631599081503,0.00477579343957422,-3.40533151484043,0.000660837774900298
"t71","GLM","intercept",-2.17233393614193,0.462699899532523,-4.69490902923622,2.66725397327752e-06
"t71","GLM","dose slope",-0.0532907160287735,0.0263789272169949,-2.02020027540924,0.0433626177389019
"t24","BGLM","intercept",-2.65761718926484,0.385616634699053,-6.89186344707075,5.50662212523634e-12
"t24","BGLM","dose slope",0.010867754030948,0.00362072532415779,3.00154059144928,0.00268617224048829
"t26","BGLM","intercept",-1.31437504133924,0.268763123117553,-4.89045902612298,1.00601098999957e-06
"t26","BGLM","dose slope",-0.00212208424133868,0.00324216397669004,-0.654527117257388,0.512772262388124
"t27","BGLM","intercept",-0.279034248507535,0.221569894700891,-1.25935090994297,0.207903612261445
"t27","BGLM","dose slope",0.00997356278523308,0.00279509554379576,3.56823680227006,0.000359391624700094
"t28","BGLM","intercept",-1.23847608743296,0.257803462172946,-4.80395444263714,1.55562238933663e-06
"t28","BGLM","dose slope",0.000888368104553089,0.00293704668198754,0.302469861988002,0.762293904792578
"t29","BGLM","intercept",-1.58014911844284,0.266808258395807,-5.92241457570893,3.17248612409711e-09
"t29","BGLM","dose slope",0.0212820491529623,0.00330292943332796,6.44338596465835,1.16837064944499e-10
"t36","BGLM","intercept",-2.23560335098324,0.401780758952463,-5.56423696548331,2.63301952402724e-08
"t36","BGLM","dose slope",-0.011830376698569,0.0065996395288034,-1.79257922299189,0.0730402310822359
"t41","BGLM","intercept",-4.67795482900952,0.862845883350811,-5.42154157454278,5.90872509122001e-08
"t41","BGLM","dose slope",0.0155030319396353,0.00700256234072681,2.21390845026397,0.0268350773262618
"t42","BGLM","intercept",-2.26032254867927,0.316953814330437,-7.13139405958621,9.93574128692878e-13
"t42","BGLM","dose slope",0.0176817569766791,0.00314344311514884,5.62496483281895,1.85545770718495e-08
"t59","BGLM","intercept",-0.877394934779748,0.263803512361235,-3.32594106472056,0.000881205587201926
"t59","BGLM","dose slope",-0.0153420540046714,0.0045297841409953,-3.38692827894894,0.000706798624638279
"t71","BGLM","intercept",-2.33612288598216,0.468976522554034,-4.98132160914942,6.31514843088001e-07
"t71","BGLM","dose slope",-0.0348007182236061,0.0152108451728265,-2.28788853138655,0.0221440133564702
